Member Joining Date,Membership Start Date,Membership Type Name,Membership Completed On,Division Name
2021-01-17,2021-01-18,Platinum Monthly ($2.99 CC Fee),2021-01-18,Gym Membership
2021-02-16,2021-02-16,Gold Monthly (Pay w/Routing&Acct Only),2021-02-16,Gym Membership
2021-08-16,2021-08-16,Platinum Monthly (Pay w Routing/Acct Only),2021-08-16,Gym Membership
2021-08-18,2021-08-18,Gold Monthly (Pay w/Routing&Acct Only),2021-08-18,Gym Membership
2021-10-20,2021-10-20,Platinum Monthly (Pay w Routing/Acct Only),2021-10-20,Gym Membership
2021-10-04,2021-10-04,SILVER SNEAKERS ,2021-10-04,Gym Membership
2021-06-26,2021-06-26,Gold Monthly (Pay w/Routing&Acct Only),2021-06-26,Gym Membership
2021-06-15,2021-06-15,Gold Monthly (Pay w/Routing&Acct Only),2021-06-15,Gym Membership
2021-04-05,2021-04-05,Platinum Monthly (Pay w Routing/Acct Only),2021-04-05,Gym Membership
2021-02-01,2021-02-01,Gold Monthly (Pay w/Routing&Acct Only),2021-02-01,Gym Membership
2021-07-15,2021-07-15,Platinum Monthly (Pay w Routing/Acct Only),2021-07-15,Gym Membership
2021-06-19,2021-06-19,Platinum Monthly (Pay w Routing/Acct Only),2021-06-19,Gym Membership
2021-03-29,2021-03-29,Gold Monthly (Pay w/Routing&Acct Only),2021-03-29,Gym Membership
2021-09-19,2021-09-19,Gold Monthly (Pay w/Routing&Acct Only),2021-09-19,Gym Membership
2021-02-01,2021-02-01,Platinum Monthly (Pay w Routing/Acct Only),2021-02-01,Gym Membership
2021-07-12,2021-07-12,Platinum Paid in Full,2021-07-12,Gym Membership
2021-03-20,2021-03-20,Platinum Monthly (Pay w Routing/Acct Only),2021-03-20,Gym Membership
2021-04-29,2021-04-29,Platinum Monthly ($2.99 Debit/CC Fee),2021-04-29,Gym Membership
2021-03-22,2021-03-22,Gold Monthly (Pay w/Routing&Acct Only),2021-03-22,Gym Membership
2021-04-25,2021-04-25,Gold Monthly (Pay w/Routing&Acct Only),2021-04-25,Gym Membership
2021-05-10,2021-05-10,Gold Monthly (Pay w/Routing&Acct Only),2021-05-10,Gym Membership
2021-06-29,2021-06-29,Platinum Monthly (Pay w Routing/Acct Only),2021-06-29,Gym Membership
2021-08-03,2021-08-03,Platinum Monthly ($2.99 Debit/CC Fee),2021-08-03,Gym Membership
2021-06-02,2021-06-02,Platinum Monthly ($2.99 Debit/CC Fee),2021-06-02,Gym Membership
2021-05-26,2021-05-26,Gold Monthly (Pay w/Routing&Acct Only),2021-05-26,Gym Membership
2021-08-23,2021-08-23,Gold Monthly (Pay w/Routing&Acct Only),2021-08-23,Gym Membership
2021-03-14,2021-03-14,Gold Monthly (Pay w/Routing&Acct Only),2021-03-14,Gym Membership
2021-08-28,2021-08-28,Gold Monthly (Pay w/Routing&Acct Only),2021-08-28,Gym Membership
2021-03-09,2021-03-09,Platinum Monthly (Pay w Routing/Acct Only),2021-03-09,Gym Membership
2021-07-01,2021-07-01,Gold Monthly ($2.99 Debit/CC Fee),2021-07-01,Gym Membership
2021-06-17,2021-06-17,Platinum Monthly (No Commitment),2021-06-17,Gym Membership
2021-01-26,2021-01-26,Diamond Monthly ($2.99 CC Fee)  ,2021-01-26,Gym Membership
2021-03-19,2021-03-19,Platinum Monthly ($2.99 Debit/CC Fee),2021-03-19,Gym Membership
2021-04-06,2021-04-06,Diamond Monthly (Pay w/Routing&Acct Only),2021-04-06,Gym Membership
2021-02-15,2021-02-15,Gold Monthly (Pay w/Routing&Acct Only),2021-02-15,Gym Membership
2021-04-23,2021-04-23,Diamond Monthly ($2.99 Debit/CC Fee),2021-04-23,Gym Membership
2021-07-30,2021-07-30,Diamond Monthly (Pay w/Routing&Acct Only),2021-07-30,Gym Membership
2021-01-30,2021-01-30,Platinum Monthly ($2.99 CC Fee),2021-01-30,Gym Membership
2021-02-07,2021-02-07,Gold Monthly (Pay w/Routing&Acct Only),2021-02-07,Gym Membership
2021-10-01,2021-10-01,Gold Monthly ($2.99 Debit/CC Fee),2021-10-01,Gym Membership
2021-05-08,2021-05-08,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-08,Gym Membership
2021-01-24,2021-01-24,Platinum Monthly ($2.99 CC Fee),2021-01-24,Gym Membership
2021-07-19,2021-07-19,Platinum Monthly ($2.99 Debit/CC Fee),2021-07-19,Gym Membership
2021-05-03,2021-05-03,Gold Monthly ($2.99 Debit/CC Fee),2021-05-03,Gym Membership
2021-05-26,2021-05-26,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-26,Gym Membership
2021-03-10,2021-03-10,Platinum Monthly (Pay w Routing/Acct Only),2021-03-10,Gym Membership
2021-02-28,2021-02-28,Diamond Monthly (Pay w/Routing&Acct Only),2021-02-28,Gym Membership
2021-05-19,2021-05-19,1x/week for 6 months (30/session),2021-05-19,Personal Training 
2021-03-20,2021-03-20,Platinum Monthly (Pay w Routing/Acct Only),2021-03-20,Gym Membership
2019-11-05,2021-06-08,SILVER SNEAKERS ,2021-06-08,Gym Membership
2021-07-20,2021-07-20,Gold Monthly (Pay w/Routing&Acct Only),2021-07-20,Gym Membership
2021-06-24,2021-06-24,Gold Monthly ($2.99 Debit/CC Fee),2021-06-24,Gym Membership
2021-06-16,2021-06-16,Diamond Monthly ($2.99 Debit/CC Fee),2021-06-16,Gym Membership
2021-08-03,2021-08-03,Gold Paid in Full,2021-08-03,Gym Membership
2021-07-19,2021-07-19,Platinum Monthly ($2.99 Debit/CC Fee),2021-07-19,Gym Membership
2021-07-19,2021-07-19,Platinum Monthly (No Commitment),2021-07-19,Gym Membership
2021-01-19,2021-01-19,Gold Monthly,2021-01-19,Gym Membership
2021-01-06,2021-01-06,Platinum Monthly(Special offer),2021-01-06,Gym Membership
2021-01-05,2021-01-05,Gold Monthly ($2.99 CC Fee),2021-01-05,Gym Membership
2021-05-03,2021-05-03,Platinum Paid in Full,2021-05-03,Gym Membership
2021-03-14,2021-03-14,Platinum Monthly (Pay w Routing/Acct Only),2021-03-14,Gym Membership
2021-02-26,2021-02-26,Diamond Monthly (Pay w/Routing&Acct Only),2021-02-26,Gym Membership
2021-02-25,2021-02-25,Platinum Monthly (Pay w Routing/Acct Only),2021-02-25,Gym Membership
2021-07-07,2021-07-07,Gold Monthly (Pay w/Routing&Acct Only),2021-07-07,Gym Membership
2021-04-21,2021-04-21,Platinum Monthly (Pay w Routing/Acct Only),2021-04-21,Gym Membership
2021-01-07,2021-01-07,Diamond Monthly ($2.99 CC Fee)  ,2021-01-07,Gym Membership
2021-03-22,2021-03-22,Platinum Monthly (Pay w Routing/Acct Only),2021-03-22,Gym Membership
2021-05-30,2021-05-30,Platinum Monthly (Pay w Routing/Acct Only),2021-05-30,Gym Membership
2021-02-14,2021-02-14,Platinum Monthly (Pay w Routing/Acct Only),2021-02-14,Gym Membership
2021-07-13,2021-07-13,Platinum Monthly (Pay w Routing/Acct Only),2021-07-13,Gym Membership
2021-04-05,2021-04-05,Platinum Monthly (Pay w Routing/Acct Only),2021-04-05,Gym Membership
2021-01-15,2021-01-15,Gold Monthly ($2.99 Debit/CC Fee),2021-01-15,Gym Membership
2021-03-09,2021-03-09,Platinum Monthly (No Commitment),2021-03-09,Gym Membership
2021-02-03,2021-02-03,Gold Monthly (Pay w/Routing&Acct Only),2021-02-03,Gym Membership
2021-03-26,2021-03-26,Platinum Monthly (Pay w Routing/Acct Only),2021-03-26,Gym Membership
2021-08-12,2021-08-12,Platinum Monthly ($2.99 Debit/CC Fee),2021-08-12,Gym Membership
2021-07-13,2021-07-13,Gold Monthly (Pay w/Routing&Acct Only),2021-07-13,Gym Membership
2021-10-19,2021-10-19,Gold Monthly (Pay w/Routing&Acct Only),2021-10-19,Gym Membership
2021-08-11,2021-08-11,Gold Monthly (Pay w/Routing&Acct Only),2021-08-11,Gym Membership
2021-04-18,2021-04-18,Platinum Monthly (Pay w Routing/Acct Only),2021-04-18,Gym Membership
2021-05-26,2021-05-26,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-26,Gym Membership
2021-08-31,2021-08-31,Gold Monthly (Pay w/Routing&Acct Only),2021-08-31,Gym Membership
2021-01-20,2021-01-20,Platinum Monthly ($2.99 Debit/CC Fee),2021-01-20,Gym Membership
2021-01-20,2021-01-20,Platinum Monthly ($2.99 CC Fee),2021-01-20,Gym Membership
2021-04-26,2021-04-26,Gold Paid in Full,2021-04-26,Gym Membership
2021-08-20,2021-08-20,Platinum Monthly (Pay w Routing/Acct Only),2021-08-20,Gym Membership
2021-08-02,2021-08-02,Gold Monthly ($2.99 Debit/CC Fee),2021-08-02,Gym Membership
2021-03-29,2021-03-29,Platinum Monthly (Pay w Routing/Acct Only),2021-03-29,Gym Membership
2021-08-20,2021-08-20,Gold Paid in Full,2021-08-20,Gym Membership
2021-02-02,2021-02-02,Gold Monthly (Pay w/Routing&Acct Only),2021-02-02,Gym Membership
2021-07-08,2021-07-08,Gold Monthly,2021-07-08,Gym Membership
2021-08-02,2021-08-02,Gold Monthly (Pay w/Routing&Acct Only),2021-08-02,Gym Membership
2021-04-09,2021-04-09,Gold Monthly (Pay w/Routing&Acct Only),2021-04-09,Gym Membership
2021-09-24,2021-09-24,Gold Monthly (Pay w/Routing&Acct Only),2021-09-24,Gym Membership
2021-05-17,2021-05-17,SILVER SNEAKERS ,2021-05-17,Gym Membership
2021-06-08,2021-06-08,Gold Monthly (Pay w/Routing&Acct Only),2021-06-08,Gym Membership
2021-09-08,2021-09-08,Diamond Monthly (No Commitment) ,2021-09-08,Gym Membership
2021-08-12,2021-08-12,Gold Monthly (Pay w/Routing&Acct Only),2021-08-12,Gym Membership
2021-09-03,2021-09-03,Diamond Monthly (Pay w/Routing&Acct Only),2021-09-03,Gym Membership
2021-07-12,2021-07-12,Gold Monthly (Pay w/Routing&Acct Only),2021-07-12,Gym Membership
